Year,Region,disasterType,len
1978,Middle Africa,Epidemic,1
1978,South America,Storm,1
1978,Australia and New Zealand,Drought,1
1978,Australia and New Zealand,Flood,5
1978,Central America,Storm,2
1978,South America,Drought,1
1978,Eastern Asia,Drought,1
1978,Western Europe,Earthquake,1
1978,Caribbean,Epidemic,1
1978,Western Africa,Epidemic,2
1978,Western Africa,Other,1
1978,Eastern Asia,Wildfire,2
1979,Central America,Earthquake,2
1979,South America,Earthquake,3
1979,Caribbean,Storm,7
1979,Southern Europe,Earthquake,4
1979,South America,Flood,4
1979,Australia and New Zealand,Storm,2
1979,Australia and New Zealand,Wildfire,1
1979,Western Africa,Epidemic,2
1979,Southern Asia,Storm,3
1979,Southern Asia,Drought,4
1979,Central America,Flood,4
1979,South America,Drought,1
1979,Northern America,Flood,1
1979,South America,Landslide,1
1979,Eastern Asia,Earthquake,3
1979,Eastern Asia,Drought,2
1979,Western Europe,Extreme temperature ,1
1979,Caribbean,Flood,3
1979,Northern Africa,Flood,4
1979,Northern Africa,Storm,1
1979,Southern Europe,Flood,5
1979,Melanesia,Storm,3
1979,Western Europe,Earthquake,1
1979,Eastern Asia,Landslide,1
1979,Eastern Asia,Storm,4
1979,Eastern Asia,Wildfire,2
1980,Western Africa,Drought,14
1980,Northern Africa,Earthquake,1
1980,Southern Asia,Flood,10
1980,South America,Flood,7
1980,Australia and New Zealand,Storm,5
1980,Australia and New Zealand,Wildfire,1
1980,Western Europe,Flood,2
1980,Southern Europe,Earthquake,4
1980,Southern Asia,Storm,5
1980,South America,Storm,1
1980,Caribbean,Storm,10
1980,Northern America,Wildfire,1
1980,Eastern Asia,Flood,5
1980,Eastern Asia,Storm,6
1980,Central America,Flood,4
1980,Eastern Africa,Drought,2
1980,Northern Europe,Storm,1
1980,South America,Earthquake,3
1980,Southern Europe,Drought,1
1980,Eastern Africa,Epidemic,4
1980,Melanesia,Storm,1
1980,Eastern Asia,Wildfire,2
1981,South America,Earthquake,3
1981,Southern Europe,Earthquake,5
1981,Northern America,Storm,4
1981,Middle Africa,Drought,1
1981,Eastern Africa,Drought,5
1981,Australia and New Zealand,Storm,1
1981,Australia and New Zealand,Flood,4
1981,Australia and New Zealand,Drought,1
1981,Western Europe,Storm,1
1981,Western Africa,Epidemic,3
1981,Southern Asia,Storm,10
1981,Eastern Europe,Storm,2
1981,South America,Flood,4
1981,Southern Africa,Drought,4
1981,Middle Africa,Storm,1
1981,Eastern Asia,Storm,8
1981,Eastern Asia,Earthquake,1
1981,Eastern Asia,Flood,5
