Year,Region,disasterType,len
1981,Polynesia,Storm,1
1981,South America,Landslide,1
1981,Eastern Europe,Extreme temperature ,1
1981,Caribbean,Drought,1
1981,Eastern Africa,Flood,1
1981,Northern Europe,Storm,1
1981,Caribbean,Flood,1
1981,Northern Africa,Drought,1
1981,Northern Africa,Flood,1
1981,Southern Europe,Drought,1
1981,Eastern Africa,Epidemic,1
1981,Melanesia,Storm,1
1981,Western Europe,Flood,1
1981,Western Africa,Flood,1
1982,Western Europe,Drought,1
1982,Southern Asia,Earthquake,1
1982,Southern Europe,Earthquake,1
1982,South America,Flood,1
1982,Australia and New Zealand,Storm,1
1982,Western Europe,Flood,1
1982,Western Europe,Landslide,1
1982,Western Europe,Storm,1
1982,Western Africa,Flood,1
1982,Southern Asia,Epidemic,1
1982,Southern Asia,Drought,1
1982,Southern Asia,Flood,1
1982,South America,Storm,1
1982,Northern America,Extreme temperature ,1
1982,Eastern Asia,Earthquake,1
1982,Eastern Asia,Flood,1
1982,Eastern Asia,Landslide,1
1982,South America,Landslide,1
1982,Western Africa,Storm,1
1982,Eastern Europe,Extreme temperature ,1
1982,Caribbean,Storm,1
1982,Northern Africa,Flood,1
1982,Southern Europe,Flood,1
1982,Western Europe,Wildfire,1
1982,Central America,Flood,1
1983,Middle Africa,Drought,1
1983,Central America,Earthquake,1
1983,Eastern Europe,Drought,1
1983,Southern Asia,Earthquake,1
1983,Caribbean,Storm,1
1983,Caribbean,Flood,1
1983,South America,Flood,1
1983,Caribbean,Drought,1
1983,Australia and New Zealand,Wildfire,1
1983,Australia and New Zealand,Storm,1
1983,Western Europe,Flood,1
1983,Western Europe,Earthquake,1
1983,Western Africa,Epidemic,1
1983,Southern Asia,Storm,1
1983,Southern Asia,Epidemic,1
1983,Southern Asia,Flood,1
1983,South America,Drought,1
1983,South America,Landslide,1
1983,Northern America,Flood,1
1983,Western Europe,Storm,1
1983,South America,Earthquake,1
1983,Eastern Asia,Storm,1
1983,Eastern Asia,Earthquake,1
1983,Eastern Asia,Other,2
1983,Eastern Asia,Flood,1
1983,Eastern Asia,Drought,1
1983,South America,Storm,1
1983,South America,Other,1
1983,Eastern Africa,Storm,1
1983,Western Asia,Storm,1
1983,Western Europe,Wildfire,1
1983,Eastern Africa,Drought,1
1983,Northern Europe,Storm,1
1983,Caribbean,Wildfire,1
1983,Southern Europe,Flood,1
1983,Melanesia,Storm,1
1983,Melanesia,Drought,1
1983,Western Europe,Landslide,1
1983,Western Africa,Earthquake,1
1983,Southern Europe,Earthquake,1
1983,Southern Europe,Wildfire,1
1983,Central America,Other,1
1984,Western Europe,Storm,1
1984,Southern Asia,Earthquake,1
1984,Caribbean,Storm,1
1984,South America,Landslide,1
1984,Australia and New Zealand,Flood,1
1984,Western Europe,Landslide,1
1984,Western Europe,Flood,1
1984,Western Africa,Wildfire,1
1984,Western Africa,Epidemic,1
1984,Western Africa,Flood,1
1984,Southern Asia,Epidemic,1
1984,Southern Asia,Flood,1
1984,South America,Flood,1
1984,South America,Storm,1
1984,South America,Epidemic,1
1984,Caribbean,Flood,1
1984,Northern America,Drought,1
1984,Eastern Asia,Landslide,1
1984,Eastern Asia,Storm,1
1984,Eastern Asia,Flood,1
1984,Middle Africa,Other,1
1984,Western Africa,Storm,1
1984,Eastern Europe,Storm,1
1984,Northern Africa,Flood,1
1984,Southern Europe,Storm,1
1984,Southern Europe,Wildfire,1
1984,Western Europe,Wildfire,1
1984,Northern Europe,Storm,1
1984,Northern Europe,Epidemic,1
1984,Central America,Other,1
1985,Southern Asia,Storm,1
1985,South America,Other,2
1985,Middle Africa,Drought,1
1985,Southern Europe,Landslide,1
1985,Southern Europe,Extreme temperature ,1
1985,South America,Earthquake,1
1985,South America,Flood,1
1985,Australia and New Zealand,Storm,1
1985,Australia and New Zealand,Wildfire,1
1985,Australia and New Zealand,Flood,1
1985,Western Europe,Flood,1
1985,Western Europe,Storm,1
1985,Western Europe,Extreme temperature ,1
1985,Western Africa,Flood,1
1985,Southern Asia,Flood,1
1985,Southern Asia,Epidemic,1
1985,Northern America,Storm,1
1985,South America,Storm,1
1985,South America,Drought,1
1985,Northern America,Wildfire,1
1985,Eastern Asia,Earthquake,1
1985,Eastern Asia,Flood,1
1985,Eastern Asia,Landslide,1
1985,Eastern Asia,Storm,1
1985,Eastern Asia,Drought,1
1985,Eastern Africa,Storm,1
1985,Eastern Europe,Landslide,1
1985,Eastern Europe,Extreme temperature ,1
1985,Caribbean,Storm,1
1985,Caribbean,Flood,1
1985,Northern Europe,Storm,1
1985,Northern Africa,Earthquake,1
1985,Northern Africa,Flood,1
1985,South America,Wildfire,1
1985,Southern Europe,Wildfire,1
1985,Eastern Africa,Flood,1
1985,Eastern Africa,Epidemic,1
1985,Melanesia,Storm,1
