Year,disasterType,len,compkey
1996,Earthquake,13,1996Earthquake
1996,Epidemic,45,1996Epidemic
1996,Landslide,24,1996Landslide
1996,Extreme temperature ,5,1996Extreme temperature 
1997,Flood,95,1997Flood
1997,Earthquake,23,1997Earthquake
1997,Storm,79,1997Storm
1997,Landslide,13,1997Landslide
1997,Drought,17,1997Drought
1997,Wildfire,16,1997Wildfire
1997,Epidemic,62,1997Epidemic
1997,Extreme temperature ,13,1997Extreme temperature 
1998,Earthquake,30,1998Earthquake
1998,Flood,94,1998Flood
1998,Epidemic,74,1998Epidemic
1998,Storm,88,1998Storm
1998,Extreme temperature ,12,1998Extreme temperature 
1998,Landslide,22,1998Landslide
1998,Wildfire,18,1998Wildfire
1995,Other,9,1995Other
1996,Drought,7,1996Drought
1996,Other,5,1996Other
1996,Wildfire,5,1996Wildfire
1997,Other,5,1997Other
1998,Other,5,1998Other
1998,Drought,20,1998Drought
1999,Storm,106,1999Storm
1999,Flood,122,1999Flood
1999,Earthquake,33,1999Earthquake
1999,Wildfire,22,1999Wildfire
1999,Epidemic,76,1999Epidemic
1999,Landslide,18,1999Landslide
1999,Drought,26,1999Drought
2000,Flood,157,2000Flood
2000,Drought,25,2000Drought
2000,Storm,102,2000Storm
2000,Epidemic,113,2000Epidemic
2000,Landslide,28,2000Landslide
2000,Extreme temperature ,30,2000Extreme temperature 
2000,Wildfire,30,2000Wildfire
2000,Other,8,2000Other
2000,Earthquake,30,2000Earthquake
2001,Extreme temperature ,23,2001Extreme temperature 
2001,Flood,157,2001Flood
2001,Storm,105,2001Storm
2001,Epidemic,69,2001Epidemic
2001,Earthquake,25,2001Earthquake
1999,Other,5,1999Other
1999,Extreme temperature ,8,1999Extreme temperature 
2001,Landslide,24,2001Landslide
2001,Drought,22,2001Drought
2001,Wildfire,14,2001Wildfire
2002,Earthquake,37,2002Earthquake
2002,Flood,172,2002Flood
2002,Landslide,20,2002Landslide
2002,Storm,122,2002Storm
2002,Drought,24,2002Drought
2002,Epidemic,112,2002Epidemic
2002,Extreme temperature ,15,2002Extreme temperature 
2002,Wildfire,22,2002Wildfire
2003,Flood,158,2003Flood
2003,Wildfire,14,2003Wildfire
2003,Storm,86,2003Storm
2003,Epidemic,32,2003Epidemic
2001,Other,8,2001Other
2002,Other,8,2002Other
2003,Earthquake,40,2003Earthquake
2003,Landslide,21,2003Landslide
2003,Extreme temperature ,25,2003Extreme temperature 
2003,Drought,14,2003Drought
2004,Flood,128,2004Flood
2004,Storm,124,2004Storm
2004,Drought,11,2004Drought
2004,Extreme temperature ,16,2004Extreme temperature 
2004,Earthquake,42,2004Earthquake
2004,Epidemic,43,2004Epidemic
2004,Other,18,2004Other
2005,Storm,130,2005Storm
2005,Flood,193,2005Flood
2005,Wildfire,13,2005Wildfire
2003,Other,2,2003Other
2004,Landslide,15,2004Landslide
2004,Wildfire,8,2004Wildfire
2005,Earthquake,25,2005Earthquake
2005,Other,8,2005Other
2005,Epidemic,56,2005Epidemic
2005,Landslide,13,2005Landslide
2006,Storm,76,2006Storm
2006,Earthquake,24,2006Earthquake
2006,Flood,226,2006Flood
2005,Drought,20,2005Drought
2005,Extreme temperature ,40,2005Extreme temperature 
2006,Drought,9,2006Drought
2006,Landslide,20,2006Landslide
2006,Epidemic,54,2006Epidemic
2006,Wildfire,9,2006Wildfire
2006,Extreme temperature ,14,2006Extreme temperature 
2006,Other,14,2006Other
2007,Flood,218,2007Flood
2007,Other,6,2007Other
2007,Storm,105,2007Storm
2007,Landslide,10,2007Landslide
2007,Epidemic,35,2007Epidemic
2007,Extreme temperature ,25,2007Extreme temperature 
2007,Earthquake,21,2007Earthquake
2007,Wildfire,18,2007Wildfire
2007,Drought,11,2007Drought
2008,Flood,165,2008Flood
2008,Storm,111,2008Storm
2008,Extreme temperature ,16,2008Extreme temperature 
2008,Drought,16,2008Drought
2008,Earthquake,23,2008Earthquake
2008,Other,10,2008Other
2008,Epidemic,42,2008Epidemic
2008,Landslide,12,2008Landslide
2009,Storm,87,2009Storm
2009,Flood,151,2009Flood
2009,Earthquake,22,2009Earthquake
2009,Wildfire,9,2009Wildfire
2009,Landslide,29,2009Landslide
2009,Epidemic,44,2009Epidemic
2009,Extreme temperature ,20,2009Extreme temperature 
2009,Other,4,2009Other
2008,Wildfire,5,2008Wildfire
2009,Drought,18,2009Drought
2010,Storm,94,2010Storm
2010,Other,7,2010Other
2010,Earthquake,24,2010Earthquake
2010,Flood,184,2010Flood
2010,Drought,21,2010Drought
2010,Landslide,32,2010Landslide
2010,Extreme temperature ,28,2010Extreme temperature 
2010,Epidemic,44,2010Epidemic
2010,Wildfire,7,2010Wildfire
2011,Flood,156,2011Flood
2011,Storm,84,2011Storm
2011,Earthquake,30,2011Earthquake
2011,Other,6,2011Other
2011,Epidemic,24,2011Epidemic
2011,Extreme temperature ,16,2011Extreme temperature 
2011,Landslide,17,2011Landslide
2011,Wildfire,8,2011Wildfire
2011,Drought,16,2011Drought
2012,Storm,91,2012Storm
2012,Flood,136,2012Flood
2012,Drought,18,2012Drought
2012,Earthquake,27,2012Earthquake
2012,Landslide,13,2012Landslide
2012,Extreme temperature ,52,2012Extreme temperature 
2012,Wildfire,6,2012Wildfire
2012,Epidemic,25,2012Epidemic
2012,Other,2,2012Other
2013,Flood,148,2013Flood
2013,Storm,105,2013Storm
2013,Earthquake,29,2013Earthquake
2013,Landslide,11,2013Landslide
2013,Extreme temperature ,13,2013Extreme temperature 
2013,Wildfire,10,2013Wildfire
2013,Epidemic,23,2013Epidemic
2013,Drought,9,2013Drought
2013,Other,5,2013Other
2014,Flood,137,2014Flood
2014,Landslide,15,2014Landslide
2014,Extreme temperature ,17,2014Extreme temperature 
2014,Wildfire,4,2014Wildfire
2014,Storm,99,2014Storm
2014,Earthquake,26,2014Earthquake
2014,Other,7,2014Other
2014,Drought,20,2014Drought
2014,Epidemic,23,2014Epidemic
2015,Flood,161,2015Flood
2015,Storm,121,2015Storm
2015,Landslide,20,2015Landslide
2015,Earthquake,23,2015Earthquake
2015,Drought,27,2015Drought
2015,Epidemic,14,2015Epidemic
2015,Other,7,2015Other
2015,Wildfire,13,2015Wildfire
2015,Extreme temperature ,12,2015Extreme temperature 
2016,Storm,86,2016Storm
2016,Earthquake,30,2016Earthquake
2016,Flood,160,2016Flood
2016,Wildfire,10,2016Wildfire
2016,Landslide,13,2016Landslide
2016,Epidemic,25,2016Epidemic
2016,Extreme temperature ,12,2016Extreme temperature 
2016,Drought,14,2016Drought
2017,Flood,127,2017Flood
2017,Storm,130,2017Storm
2017,Landslide,25,2017Landslide
2017,Earthquake,22,2017Earthquake
2017,Wildfire,15,2017Wildfire
2017,Drought,12,2017Drought
2017,Extreme temperature ,10,2017Extreme temperature 
2017,Epidemic,27,2017Epidemic
2017,Other,3,2017Other
2018,Storm,97,2018Storm
2018,Flood,128,2018Flood
2018,Wildfire,10,2018Wildfire
2018,Drought,17,2018Drought
2018,Landslide,13,2018Landslide
2018,Epidemic,16,2018Epidemic
2018,Extreme temperature ,27,2018Extreme temperature 
2018,Earthquake,20,2018Earthquake
2019,Flood,196,2019Flood
2019,Wildfire,14,2019Wildfire
2019,Storm,91,2019Storm
2019,Landslide,25,2019Landslide
2019,Extreme temperature ,21,2019Extreme temperature 
2019,Earthquake,32,2019Earthquake
2019,Other,12,2019Other
2019,Epidemic,36,2019Epidemic
2018,Other,10,2018Other
2019,Drought,15,2019Drought
2020,Storm,128,2020Storm
2020,Flood,201,2020Flood
2020,Landslide,19,2020Landslide
2020,Drought,9,2020Drought
2020,Extreme temperature ,5,2020Extreme temperature 
2020,Earthquake,16,2020Earthquake
2020,Wildfire,8,2020Wildfire
2020,Other,6,2020Other
2021,Storm,83,2021Storm
2021,Flood,160,2021Flood
2021,Wildfire,16,2021Wildfire
2021,Extreme temperature ,2,2021Extreme temperature 
2021,Drought,10,2021Drought
2021,Landslide,10,2021Landslide
2021,Earthquake,19,2021Earthquake
2021,Other,10,2021Other
2020,Epidemic,6,2020Epidemic
2021,Epidemic,5,2021Epidemic
